chart_file,path,purpose,recommended_slide,executive_insight,deck_usage,referenced_in_slide_content_plan
chart_actual_payroll_by_branch.png,/Users/riverocel/consulting_dataset/analysis_output/chart_actual_payroll_by_branch.png,Appendix backup showing branch-level occupied payroll exposure.,Appendix,Payroll exposure varies by branch and should be considered when sequencing workforce actions.,Appendix,No
chart_actual_payroll_by_gs_grade.png,/Users/riverocel/consulting_dataset/analysis_output/chart_actual_payroll_by_gs_grade.png,Original payroll-by-grade view; use as backup to the slide-ready version.,5,"GS-12 payroll dominates the cost profile, but the original chart is less presentation-ready.",Main deck,Yes
chart_actual_payroll_by_gs_grade_slide_ready.png,/Users/riverocel/consulting_dataset/analysis_output/chart_actual_payroll_by_gs_grade_slide_ready.png,Main-deck financial exposure chart showing occupied payroll by GS grade.,5,Payroll concentration creates a practical funding and cost-management lens for transformation.,Main deck,Yes
chart_authorized_positions_by_branch.png,/Users/riverocel/consulting_dataset/analysis_output/chart_authorized_positions_by_branch.png,Appendix scale context for authorized positions by branch.,Appendix,Branch size should be normalized before comparing vacancy and retirement risk.,Appendix,No
chart_branch_priority_matrix.png,/Users/riverocel/consulting_dataset/analysis_output/chart_branch_priority_matrix.png,"Main-deck synthesis chart combining vacancy, retirement, and payroll exposure.",6,Leadership should prioritize segments where continuity risk and cost exposure overlap.,Main deck,Yes
chart_diagnostic_approach_framework.png,/Users/riverocel/consulting_dataset/analysis_output/chart_diagnostic_approach_framework.png,Main-deck framework explaining how the analysis was structured.,2,The diagnostic moves from facts to prioritization and decision-making rather than isolated metrics.,Main deck,Yes
chart_implementation_roadmap.png,/Users/riverocel/consulting_dataset/analysis_output/chart_implementation_roadmap.png,Main-deck roadmap translating the recommendation into sequenced executive action.,8,DPHA should stabilize knowledge and governance before broader modernization.,Main deck,Yes
chart_occupied_headcount_by_age_band.png,/Users/riverocel/consulting_dataset/analysis_output/chart_occupied_headcount_by_age_band.png,Main-deck demographic risk chart showing the age distribution of occupied positions.,3,"Headcount is concentrated in late-career bands, creating succession and knowledge-continuity risk.",Main deck,Yes
chart_retirement_eligibility_by_branch.png,/Users/riverocel/consulting_dataset/analysis_output/chart_retirement_eligibility_by_branch.png,Main-deck retirement risk chart showing retirement exposure by branch.,4,Retirement risk is unevenly distributed and requires branch-by-branch management.,Main deck,Yes
chart_transformation_scenario_comparison.png,/Users/riverocel/consulting_dataset/analysis_output/chart_transformation_scenario_comparison.png,Main-deck strategic options table comparing transformation paths.,7,Balanced transformation best protects mission readiness while creating savings capacity.,Main deck,Yes
chart_vacancy_rate_by_branch.png,/Users/riverocel/consulting_dataset/analysis_output/chart_vacancy_rate_by_branch.png,Appendix backup chart showing where vacancy pressure is highest by branch.,Appendix,Branch B and central/non-branch positions show elevated vacancy pressure.,Appendix,No
chart_vacancy_rate_by_gs_grade.png,/Users/riverocel/consulting_dataset/analysis_output/chart_vacancy_rate_by_gs_grade.png,Appendix backup chart showing vacancy pressure by GS grade.,Appendix,"Vacancy pressure differs by grade, which should inform recruiting and backfill prioritization.",Appendix,No
